"Category";"Group";"Type";"Message";"Location";"Assessment";"Since";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `LOGIT` are in wrong order";"sourcefiles/dbserver/src/TBA/Server/Main.java:24-24";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/src/TBA/Server/Main.java:326-326";"YELLOW";"default@1591478094031";
"Documentation";"Task tags";"Comments/Task Tags";"TODO: Parameterize and secure this.";"sourcefiles/dbserver/src/TBA/Server/Main.java:51-51";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/src/TBA/Server/Main.java:284-284";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/src/TBA/Server/Main.java:305-305";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/src/TBA/Server/Main.java:304-304";"YELLOW";"default@1591478094031";
"Structure";"Method Length";"Metric Violations/LSL";"Violation of method length threshold (source lines of code) of 30: 74";"sourcefiles/dbserver/src/TBA/Server/Main.java:91-174";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/src/TBA/Server/Main.java:282-282";"YELLOW";"default@1591478094031";
"Structure";"Nesting Depth";"Metric Violations/Nesting Depth";"Violation of nesting depth threshold of 3: 5";"sourcefiles/dbserver/src/TBA/Server/Main.java:142-143";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/src/TBA/Server/Main.java:263-263";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/src/TBA/Server/Main.java:288-288";"YELLOW";"default@1591478094031";
"Structure";"Nesting Depth";"Metric Violations/Nesting Depth";"Violation of nesting depth threshold of 3: 5";"sourcefiles/dbserver/src/TBA/Server/Main.java:147-147";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `TBA.Server` violates naming convention. Should be one of `[a-z][a-z_0-9.]*`";"sourcefiles/dbserver/src/TBA/Server/Main.java:1-1";"YELLOW";"default@1591478094031";
"Structure";"Nesting Depth";"Metric Violations/Nesting Depth";"Violation of nesting depth threshold of 3: 4";"sourcefiles/dbserver/src/TBA/Server/Main.java:282-284";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/src/TBA/Server/Main.java:219-219";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/src/TBA/Server/Main.java:278-278";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/src/TBA/Server/Main.java:330-330";"YELLOW";"default@1591478094031";
"Structure";"Nesting Depth";"Metric Violations/Nesting Depth";"Violation of nesting depth threshold of 3: 5";"sourcefiles/dbserver/src/TBA/Server/Main.java:324-326";"YELLOW";"default@1591478094031";
"Structure";"Nesting Depth";"Metric Violations/Nesting Depth";"Violation of nesting depth threshold of 3: 4";"sourcefiles/dbserver/src/TBA/Server/Main.java:123-123";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/src/TBA/Server/Main.java:296-296";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/src/TBA/Server/Main.java:220-220";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/src/TBA/Server/Main.java:310-310";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Comments/Commented Out Code";"Commented Out Code";"sourcefiles/dbserver/src/TBA/Server/Main.java:30-32";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/src/TBA/Server/Main.java:269-269";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `DisplayName` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Server/Main.java:248-248";"YELLOW";"default@1591478094031";
"Structure";"Nesting Depth";"Metric Violations/Nesting Depth";"Violation of nesting depth threshold of 3: 4";"sourcefiles/dbserver/src/TBA/Server/Main.java:152-152";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/src/TBA/Server/Main.java:298-298";"YELLOW";"default@1591478094031";
"Structure";"Nesting Depth";"Metric Violations/Nesting Depth";"Violation of nesting depth threshold of 3: 5";"sourcefiles/dbserver/src/TBA/Server/Main.java:330-330";"YELLOW";"default@1591478094031";
"Code Anomalies";"Formatting";"Code Anomalies/Multiple declarations in same statement";"Multiple declarations in statement";"sourcefiles/dbserver/src/TBA/Server/Main.java:248-248";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/src/TBA/Server/Main.java:265-265";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/src/TBA/Server/Main.java:271-271";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `DairyName` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Server/Main.java:248-248";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/src/TBA/Server/Main.java:308-308";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/src/TBA/Server/Main.java:255-255";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/src/TBA/Server/Main.java:292-292";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/src/TBA/Server/Main.java:311-311";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/src/TBA/Server/Main.java:290-290";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Using threads is forbidden for Java EE containers";"Thread.start() should not be used";"sourcefiles/dbserver/src/TBA/Server/Main.java:191-191";"YELLOW";"default@1591478094031";
"Structure";"Nesting Depth";"Metric Violations/Nesting Depth";"Violation of nesting depth threshold of 3: 4";"sourcefiles/dbserver/src/TBA/Server/Main.java:304-311";"YELLOW";"default@1591478094031";
"Code Anomalies";"Unused code";"Code Anomalies/Avoid unused private fields (Java)";"Private field `PassHash` is never read.";"sourcefiles/dbserver/src/TBA/Server/Main.java:28-28";"YELLOW";"default@1591478094031";
"Structure";"Nesting Depth";"Metric Violations/Nesting Depth";"Violation of nesting depth threshold of 3: 4";"sourcefiles/dbserver/src/TBA/Server/Main.java:269-278";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/src/TBA/Server/Main.java:316-316";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Field could be final (Java)";"Field `PassHash` could be made final";"sourcefiles/dbserver/src/TBA/Server/Main.java:28-28";"YELLOW";"default@1591478094031";
"Code Anomalies";"Unused variable or parameter";"Dataflow/Unused variable or parameter";"The value assigned to variable `diaryowner` is never read";"sourcefiles/dbserver/src/TBA/Server/Main.java:272-272";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/src/TBA/Server/Main.java:249-249";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/No star imports";"Star import of `TBA.Exceptions.*` should not be used";"sourcefiles/dbserver/src/TBA/Server/Main.java:3-3";"YELLOW";"default@1591478094031";
"Documentation";"Task tags";"Comments/Task Tags";"TODO: Refactor this section";"sourcefiles/dbserver/src/TBA/Server/Main.java:93-93";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `PassHash` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Server/Main.java:28-28";"YELLOW";"default@1591478094031";
"Structure";"Nesting Depth";"Metric Violations/Nesting Depth";"Violation of nesting depth threshold of 3: 4";"sourcefiles/dbserver/src/TBA/Server/Main.java:248-257";"YELLOW";"default@1591478094031";
"Structure";"Nesting Depth";"Metric Violations/Nesting Depth";"Violation of nesting depth threshold of 3: 4";"sourcefiles/dbserver/src/TBA/Server/Main.java:261-265";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/src/TBA/Server/Main.java:300-300";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/src/TBA/Server/Main.java:309-309";"YELLOW";"default@1591478094031";
"Code Duplication";"Cloning";"Redundancy/Clones";"Clone with 2 instances of length 15";"sourcefiles/dbserver/src/TBA/Server/Main.java:91-120";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Using threads is forbidden for Java EE containers";"`HandleThread` should neither inherit from `Thread` nor implement `Runnable`";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:146-146";"YELLOW";"default@1591478094031";
"Structure";"Nesting Depth";"Metric Violations/Nesting Depth";"Violation of nesting depth threshold of 3: 4";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:100-101";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/No star imports";"Star import of `java.util.*` should not be used";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:12-12";"YELLOW";"default@1591478094031";
"Structure";"Method Length";"Metric Violations/LSL";"Violation of method length threshold (source lines of code) of 30: 32";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:81-115";"YELLOW";"default@1591478094031";
"Structure";"Nesting Depth";"Metric Violations/Nesting Depth";"Violation of nesting depth threshold of 3: 4";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:467-467";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `LOGIT` are in wrong order";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:31-31";"YELLOW";"default@1591478094031";
"Code Anomalies";"Exception Handling";"Code Anomalies/Catch of generic exception";"Catch clause catches generic exception `Exception`";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:186-190";"RED";"default@1591478094031";
"Structure";"File Size";"Metric Violations/SLOC";"Violation of file size threshold (source lines of code) of 300: 499";"sourcefiles/dbserver/src/TBA/Server/NetServer.java";"YELLOW";"default@1591478094031";
"Code Anomalies";"Exception Handling";"Code Anomalies/Catch of generic exception";"Catch clause catches generic exception `Exception`";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:628-632";"RED";"default@1591478094031";
"Structure";"Nesting Depth";"Metric Violations/Nesting Depth";"Violation of nesting depth threshold of 3: 4";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:329-329";"YELLOW";"default@1591478094031";
"Code Anomalies";"Exception Handling";"Code Anomalies/Exception stacktrace is lost";"Exception stacktrace is lost";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:55-55";"YELLOW";"default@1591478094031";
"Structure";"Nesting Depth";"Metric Violations/Nesting Depth";"Violation of nesting depth threshold of 3: 4";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:477-477";"YELLOW";"default@1591478094031";
"Code Duplication";"Cloning";"Redundancy/Clones";"Clone with 2 instances of length 11";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:523-545";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/No star imports";"Star import of `java.io.*` should not be used";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:14-14";"YELLOW";"default@1591478094031";
"Structure";"Nesting Depth";"Metric Violations/Nesting Depth";"Violation of nesting depth threshold of 3: 4";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:473-473";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Transformation of byte sequence into String must consider encoding";"Transformation of byte sequence into `String` uses platform encoding";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:634-634";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Comments/Commented Out Code";"Commented Out Code";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:581-587";"YELLOW";"default@1591478094031";
"Structure";"Method Length";"Metric Violations/LSL";"Violation of method length threshold (source lines of code) of 30: 50";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:517-580";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/No star imports";"Star import of `TBA.Messages.*` should not be used";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:7-7";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Multiple top-level classes";"More than one top-level class in file";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:146-146";"RED";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `MESSAGENOTUNDERSTOOD` are in wrong order";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:154-154";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Using threads is forbidden for Java EE containers";"Thread.start() should not be used";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:92-92";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `HandleGetDiaryCommand` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:410-410";"YELLOW";"default@1591478094031";
"Structure";"Nesting Depth";"Metric Violations/Nesting Depth";"Violation of nesting depth threshold of 3: 4";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:325-325";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `HandleRetUpdateCommand` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:515-515";"YELLOW";"default@1591478094031";
"Structure";"Method Length";"Metric Violations/LSL";"Violation of method length threshold (source lines of code) of 30: 52";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:181-242";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `LOGIT` are in wrong order";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:153-153";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Using threads is forbidden for Java EE containers";"`NetServer` should neither inherit from `Thread` nor implement `Runnable`";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:24-24";"YELLOW";"default@1591478094031";
"Documentation";"Task tags";"Comments/Task Tags";"TODO: Need to check  diary permissions here";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:541-541";"YELLOW";"default@1591478094031";
"Code Anomalies";"Exception Handling";"Code Anomalies/Catch of generic exception";"Catch clause catches generic exception `Exception`";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:52-56";"RED";"default@1591478094031";
"Code Anomalies";"Exception Handling";"Code Anomalies/Catch of generic exception";"Catch clause catches generic exception `Exception`";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:653-657";"RED";"default@1591478094031";
"Code Duplication";"Cloning";"Redundancy/Clones";"Clone with 2 instances of length 11";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:419-439";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/No star imports";"Star import of `TBA.Exceptions.*` should not be used";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:6-6";"YELLOW";"default@1591478094031";
"Code Anomalies";"Unused variable or parameter";"Dataflow/Unused variable or parameter";"The value assigned to variable `diaries` is never read";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:305-305";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Transformation of byte sequence into String must consider encoding";"Transformation of byte sequence into `String` uses platform encoding";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:659-659";"YELLOW";"default@1591478094031";
"Structure";"Method Length";"Metric Violations/LSL";"Violation of method length threshold (source lines of code) of 30: 60";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:291-365";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `HandleLoginCommand` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:289-289";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Comments should not contain nested comments";"Comment should not contain `/*`";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:581-587";"YELLOW";"default@1591478094031";
"Structure";"Nesting Depth";"Metric Violations/Nesting Depth";"Violation of nesting depth threshold of 3: 4";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:463-463";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Specify new Logger instances with current class";"Logger should be specified with `HandleThread.class`";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:153-153";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `HandleLogoutCommand` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:371-371";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `HandleCommands` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:250-250";"YELLOW";"default@1591478094031";
"Structure";"Method Length";"Metric Violations/LSL";"Violation of method length threshold (source lines of code) of 75: 83";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:412-509";"RED";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `TBA.Server` violates naming convention. Should be one of `[a-z][a-z_0-9.]*`";"sourcefiles/dbserver/src/TBA/Server/NetServer.java:1-1";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `LOGIT` are in wrong order";"sourcefiles/dbserver/src/TBA/Server/SQLite.java:43-43";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `lock` violates naming convention. Should be one of `[A-Z][_A-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Server/SQLite.java:39-39";"YELLOW";"default@1591478094031";
"Code Duplication";"Cloning";"Redundancy/Clones";"Clone with 2 instances of length 17";"sourcefiles/dbserver/src/TBA/Server/SQLite.java:52-108";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/No star imports";"Star import of `java.sql.*` should not be used";"sourcefiles/dbserver/src/TBA/Server/SQLite.java:10-10";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Specify new Logger instances with current class";"Logger should be specified with `SQLite.class`";"sourcefiles/dbserver/src/TBA/Server/SQLite.java:43-43";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `Initialise` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/src/TBA/Server/SQLite.java:84-84";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `lock` are in wrong order";"sourcefiles/dbserver/src/TBA/Server/SQLite.java:39-39";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `TBA.Server` violates naming convention. Should be one of `[a-z][a-z_0-9.]*`";"sourcefiles/dbserver/src/TBA/Server/SQLite.java:6-6";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:154-154";"YELLOW";"default@1591478094031";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:24-24";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `Body` violates naming convention. Should be one of `[a-z][a-zA-Z0-9]*`";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:94-94";"YELLOW";"default@1591478094031";
"Code Duplication";"Cloning";"Redundancy/Clones";"Clone with 10 instances of length 15";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:172-201";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:126-126";"YELLOW";"default@1591478094031";
"Code Duplication";"Cloning";"Redundancy/Clones";"Clone with 10 instances of length 10";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:24-68";"YELLOW";"default@1591478094031";
"Naming";"Java naming conventions";"Naming/JAVA";"Name `TBA.Messages` violates naming convention. Should be one of `[a-z][a-z_0-9.]*`";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:8-8";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Comments should not contain nested comments";"Comment should not contain `//`";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:49-59";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:244-244";"YELLOW";"default@1591478094031";
"Code Duplication";"Cloning";"Redundancy/Clones";"Clone with 4 instances of length 11";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:24-70";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Comments/Commented Out Code";"Commented Out Code";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:127-127";"YELLOW";"default@1591478094031";
"Structure";"Method Length";"Metric Violations/LSL";"Violation of method length threshold (source lines of code) of 30: 58";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:66-144";"YELLOW";"default@1591478094031";
"Code Duplication";"Cloning";"Redundancy/Clones";"Clone with 8 instances of length 28";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:212-273";"YELLOW";"default@1591478094031";
"Documentation";"Task tags";"Comments/Task Tags";"TODO: testGetBody, maybe for null";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:166-166";"YELLOW";"default@1591478094031";
"Code Duplication";"Cloning";"Redundancy/Clones";"Clone with 12 instances of length 12";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:172-193";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:20-23";"YELLOW";"default@1591478094031";
"Code Duplication";"Cloning";"Redundancy/Clones";"Clone with 30 instances of length 12";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:212-237";"YELLOW";"default@1591478094031";
"Code Anomalies";"Unused variable or parameter";"Dataflow/Unused variable or parameter";"The value assigned to variable `expResult` is never read";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:70-70";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:214-214";"YELLOW";"default@1591478094031";
"Code Duplication";"Cloning";"Redundancy/Clones";"Clone with 14 instances of length 10";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:330-347";"YELLOW";"default@1591478094031";
"Code Duplication";"Cloning";"Redundancy/Clones";"Clone with 4 instances of length 31";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:212-281";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:200-200";"YELLOW";"default@1591478094031";
"Code Anomalies";"Unused variable or parameter";"Dataflow/Unused variable or parameter";"The value assigned to variable `failResult` is never read";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:138-138";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: catch";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:308-308";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:66-66";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: catch";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:272-272";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: catch";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:347-347";"YELLOW";"default@1591478094031";
"Code Anomalies";"Unused variable or parameter";"Dataflow/Unused variable or parameter";"The value assigned to variable `resTitle` is never read";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:117-117";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.out.println` should not be called";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:316-316";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: catch";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:143-144";"YELLOW";"default@1591478094031";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: catch";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:192-192";"YELLOW";"default@1591478094031";
"Code Duplication";"Cloning";"Redundancy/Clones";"Clone with 16 instances of length 15";"sourcefiles/dbserver/test/TBA/Messages/DiaryEntryTest.java:212-245";"YELLOW";"default@1591478094031";
